"Name","Position","Team","Pass Comp","Pass Att","Pass Yds","Pass TDs","Pass INTs","Rush Att","Rush Yds","Rush TDs","Rec","Rec Yds","Rec TDs"
"Coy Eakin","WR","TTU","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.13","36.03","0.21"
"Khobie Martin","RB","IU","0.00","0.00","0.00","0.00","0.00","1.12","5.90","0.06","0.00","0.00","0.00"
"Charlie Becker","WR","IU","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.71","45.73","0.26"
"Damien Taylor","RB","MISS","0.00","0.00","0.00","0.00","0.00","1.14","3.69","0.05","0.00","0.00","0.00"
"Deuce Alexander","WR","MISS","0.00","0.00","0.00","0.00","0.00","0.76","3.01","0.03","2.87","43.48","0.22"
"Cash Jones","RB","UGA","0.00","0.00","0.00","0.00","0.00","1.61","7.23","0.09","0.93","8.38","0.07"
"Dae'Quan Wright","WR","MISS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.41","34.93","0.18"
"Adam Hill","RB","TTU","0.00","0.00","0.00","0.00","0.00","0.71","3.21","0.00","0.00","0.00","0.00"
"Jeremiah McClellan","WR","ORE","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.52","37.96","0.22"
"Jay Harris","RB","ORE","0.00","0.00","0.00","0.00","0.00","0.36","1.49","0.02","0.00","0.00","0.00"
"Richard Young","RB","BAMA","0.00","0.00","0.00","0.00","0.00","0.30","0.95","0.01","0.00","0.00","0.00"
"AK Dear","RB","BAMA","0.00","0.00","0.00","0.00","0.00","0.61","3.14","0.02","0.00","0.00","0.00"
"Roderick Robinson II","RB","UGA","0.00","0.00","0.00","0.00","0.00","0.40","2.23","0.02","0.00","0.00","0.00"
"Josh McCray","RB","UGA","0.00","0.00","0.00","0.00","0.00","4.83","21.80","0.26","0.23","1.17","0.02"
"Dwight Phillips Jr.","RB","UGA","0.00","0.00","0.00","0.00","0.00","0.20","1.16","0.01","0.00","0.00","0.00"
"Cayden Lee","WR","MISS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.63","40.75","0.18"
"Jamari Johnson","WR","ORE","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.12","27.88","0.14"
"Lotzeir Brooks","WR","BAMA","0.00","0.00","0.00","0.00","0.00","0.61","1.74","0.02","3.17","39.26","0.16"
"Josh Cuevas","WR","BAMA","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.13","37.40","0.19"
"Noah Thomas","WR","UGA","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.61","23.12","0.16"
"Isaiah Horton","WR","BAMA","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.72","42.45","0.29"
"Dillon Bell","WR","UGA","0.00","0.00","0.00","0.00","0.00","2.01","12.59","0.11","2.65","27.48","0.24"
"Winston Watkins","WR","MISS","0.00","0.00","0.00","0.00","0.00","0.38","0.92","0.02","2.14","31.14","0.15"
"London Humphreys","WR","UGA","0.00","0.00","0.00","0.00","0.00","0.20","1.05","0.01","0.91","14.81","0.09"
"Riley Nowakowski","WR","IU","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.49","26.41","0.18"
"Colbie Young","WR","UGA","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.24","16.41","0.10"
"Gary Bryant Jr.","WR","ORE","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.43","16.94","0.09"
"Jonathan Brady","WR","IU","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.18","1.85","0.01"
"Micah Hudson","WR","TTU","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.22","2.72","0.01"
"Oscar Delp","WR","UGA","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.31","28.38","0.19"
"Lawson Luckie","WR","UGA","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.67","18.23","0.17"
"Roger Saleapaga","WR","ORE","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.16","1.71","0.02"
"Cooper Perry","WR","ORE","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.68","1.63","0.05"
"Johncarlos Miller II","WR","TTU","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.20","2.17","0.01"
"Holden Staes","WR","IU","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.17","1.48","0.01"
"Lebron Bond","WR","IU","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.12","1.07","0.01"
"Kaleb Edwards","WR","BAMA","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.67","8.72","0.04"
"Jay Lindsey","WR","BAMA","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.19","1.41","0.01"
"Rico Scott","WR","BAMA","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.16","1.41","0.01"
"Elyiss Williams","WR","UGA","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.20","3.26","0.02"
"Sacovie White-Helton","WR","UGA","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.08","0.59","0.01"
"Cole Speer","WR","UGA","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.04","0.44","0.00"
"Landon Roldan","WR","UGA","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.06","0.59","0.01"
"CJ Wiley","WR","UGA","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.19","1.72","0.02"
"Luke Hasz","WR","MISS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.47","6.16","0.03"
